Diluter.Species,Diluter.Density,Replicate,Infected(9/30/15),Uninfected(9/30/15),Infected(10/7/15),Uninfected(10/7/15),Total.Infected,Total.Uninfected,Prevalence,Notes
Pulicaria,0,A,5,0,0,0,5,0,1,
Pulicaria,0,B,5,0,0,0,5,0,1,
Pulicaria,0,C,3,2,1,1,4,1,0.8,
Pulicaria,0,D,4,1,0,1,4,1,0.8,
Pulicaria,0,E,4,1,0,1,4,1,0.8,
Pulicaria,0,F,5,0,0,0,5,0,1,
Pulicaria,0,G,4,1,0,1,4,1,0.8,
Pulicaria,0,H,3,1,0,1,3,1,0.75,1 dentifera died 9/23
Pulicaria,2,A,1,4,2,2,3,2,0.6,
Pulicaria,2,B,0,5,0,5,0,5,0,
Pulicaria,2,C,2,3,1,2,3,2,0.6,
Pulicaria,2,D,4,1,0,1,4,1,0.8,
Pulicaria,2,E,0,4,0,4,0,4,0,1 dentifera died 9/23
Pulicaria,2,F,4,1,1,0,5,0,1,
Pulicaria,2,G,1,4,0,4,1,4,0.2,
Pulicaria,2,H,3,2,0,2,3,2,0.6,
Pulicaria,4,A,0,5,0,5,0,5,0,
Pulicaria,4,B,4,1,0,1,4,1,0.8,
Pulicaria,4,C,2,3,0,3,2,3,0.4,
Pulicaria,4,D,4,1,0,1,4,1,0.8,
Pulicaria,4,E,2,3,0,3,2,3,0.4,
Pulicaria,4,F,3,1,0,1,3,1,0.75,1 dentifera died 9/23
Pulicaria,4,G,4,1,1,0,5,0,1,
Pulicaria,4,H,1,4,0,4,1,4,0.2,
Pulicaria,6,A,1,4,0,4,1,4,0.2,
Pulicaria,6,B,1,3,0,3,1,3,0.25,1 dentifera died 9/23
Pulicaria,6,C,0,5,0,5,0,5,0,
Pulicaria,6,D,1,4,1,3,2,3,0.4,
Pulicaria,6,E,1,4,0,4,1,4,0.2,
Pulicaria,6,F,0,5,0,5,0,5,0,
Pulicaria,6,G,1,4,0,4,1,4,0.2,
Pulicaria,6,H,1,4,0,4,1,4,0.2,
Pulicaria,8,A,3,2,0,2,3,2,0.6,
Pulicaria,8,B,0,5,0,5,0,5,0,
Pulicaria,8,C,0,5,0,5,0,5,0,
Pulicaria,8,D,2,3,1,2,3,2,0.6,
Pulicaria,8,E,0,5,0,5,0,5,0,
Pulicaria,8,F,0,5,1,4,1,4,0.2,
Pulicaria,8,G,1,4,0,4,1,4,0.2,
Pulicaria,8,H,1,4,0,4,1,4,0.2,
Retrocurva,0,A,5,0,0,0,5,0,1,
Retrocurva,0,B,2,2,1,1,3,1,0.75,
Retrocurva,0,C,4,0,0,0,4,0,1,
Retrocurva,0,D,5,0,0,0,5,0,1,
Retrocurva,0,E,3,2,1,1,4,1,0.8,
Retrocurva,0,F,5,0,0,0,5,0,1,
Retrocurva,0,G,5,0,0,0,5,0,1,
Retrocurva,0,H,4,0,0,0,4,0,1,1 dentifera died 9/23
Retrocurva,2,A,5,0,0,0,5,0,1,
Retrocurva,2,B,3,2,1,1,4,1,0.8,
Retrocurva,2,C,5,0,0,0,5,0,1,
Retrocurva,2,D,4,0,0,0,4,0,1,1 dentifera died 9/23
Retrocurva,2,E,5,0,0,0,5,0,1,
Retrocurva,2,F,5,0,0,0,5,0,1,
Retrocurva,2,G,4,1,1,0,5,0,1,
Retrocurva,2,H,3,2,0,2,3,2,0.6,
Retrocurva,4,A,3,2,0,2,3,2,0.6,
Retrocurva,4,B,0,5,0,5,0,5,0,
Retrocurva,4,C,3,2,1,1,4,1,0.8,"1 retro baby was accidentally left in beaker with dentifera, removed 9/23"
Retrocurva,4,D,4,1,0,1,4,1,0.8,
Retrocurva,4,E,5,0,0,0,5,0,1,
Retrocurva,4,G,2,3,1,2,3,2,0.6,
Retrocurva,4,H,5,0,0,0,5,0,1,
Retrocurva,6,A,2,3,1,2,3,2,0.6,
Retrocurva,6,B,1,3,0,3,1,3,0.25,"1 retro baby was accidentally left in beaker with dentifera, removed 9/23"
Retrocurva,6,C,2,3,1,2,3,2,0.6,"3 retro babies were accidentally left in beaker with dentifera, removed 9/23"
Retrocurva,6,D,5,0,0,0,5,0,1,
Retrocurva,6,E,3,2,0,2,3,2,0.6,
Retrocurva,6,F,3,2,0,2,3,2,0.6,
Retrocurva,6,G,3,2,0,2,3,2,0.6,
Retrocurva,6,H,5,0,0,0,5,0,1,
Retrocurva,8,A,4,1,0,1,4,1,0.8,
Retrocurva,8,B,5,0,0,0,5,0,1,
Retrocurva,8,C,4,1,1,0,5,0,1,
Retrocurva,8,D,5,0,0,0,5,0,1,
Retrocurva,8,E,1,3,0,3,1,3,0.25,
Retrocurva,8,F,4,1,0,1,4,1,0.8,
Retrocurva,8,G,1,4,3,1,4,1,0.8,
Retrocurva,8,H,5,0,0,0,5,0,1,
NC.Dentifera,0,A,5,0,0,0,5,0,1,
NC.Dentifera,0,B,6,0,0,0,6,0,1,"1 extra dentifera, could be an extra Mid37 or left over dilter NC dentifera (Gd107), but more likely mid37 since all got infected."
NC.Dentifera,0,C,5,0,0,0,5,0,1,
NC.Dentifera,0,D,4,1,1,1,5,1,0.833333333,
NC.Dentifera,0,E,5,0,0,0,5,0,1,
NC.Dentifera,0,F,4,0,0,0,4,0,1,1 dentifera died 9/23
NC.Dentifera,0,G,5,0,0,0,5,0,1,
NC.Dentifera,0,H,5,0,0,0,5,0,1,
NC.Dentifera,2,A,5,0,0,0,5,0,1,
NC.Dentifera,2,B,4,1,0,1,4,1,0.8,
NC.Dentifera,2,C,6,0,0,0,6,0,1,
NC.Dentifera,2,D,5,0,0,0,5,0,1,
NC.Dentifera,2,E,5,0,0,0,5,0,1,
NC.Dentifera,2,F,3,2,0,2,3,2,0.6,
NC.Dentifera,2,G,4,1,0,1,4,1,0.8,
NC.Dentifera,2,H,5,0,0,0,5,0,1,
NC.Dentifera,4,A,5,0,0,0,5,0,1,
NC.Dentifera,4,B,5,0,0,0,5,0,1,
NC.Dentifera,4,C,4,1,1,0,5,0,1,
NC.Dentifera,4,D,4,1,0,1,4,1,0.8,
NC.Dentifera,4,E,5,1,0,1,5,1,0.833333333,"1 extra dentifera, could be an extra Mid37 or left over dilter NC dentifera (Gd107)."
NC.Dentifera,4,F,5,0,0,0,5,0,1,
NC.Dentifera,4,G,4,1,0,1,4,1,0.8,
NC.Dentifera,4,H,5,0,0,0,5,0,1,
NC.Dentifera,6,A,2,3,1,2,3,2,0.6,
NC.Dentifera,6,B,5,0,0,0,5,0,1,
NC.Dentifera,6,C,3,2,2,0,5,0,1,
NC.Dentifera,6,D,5,0,0,0,5,0,1,
