PulicariaLine,Parasite,Rep,Code,Date,BodySize_um,BodySize_mm
Mid67,Metschnikowia,A,M8A,5/29/2021,1889.18,1.88917722
Mid67,Metschnikowia,B,M8B,5/29/2021,1846.49,1.84648536
Mid67,Metschnikowia,C,M8C,5/29/2021,1857.84,1.85784489
Mid67,Metschnikowia,D,M8D,5/29/2021,1856.72,1.85672142
Mid67,Metschnikowia,E,M8E,5/29/2021,1882.56,1.88256123
Mid67,Metschnikowia,F,M8F,5/29/2021,1896.67,1.89666702
Mid67,Metschnikowia,G,M8G,5/29/2021,1826.01,1.82601324
BA,Metschnikowia,A,M8A,5/29/2021,1877.44,1.8774432
BA,Metschnikowia,B,M8B,5/29/2021,1915.39,1.91539152
BA,Metschnikowia,C,M8C,5/29/2021,1877.82,1.87781769
BA,Metschnikowia,D,M8D,5/29/2021,1929.75,1.92974697
BA,Metschnikowia,E,M8E,5/29/2021,1945.35,1.94535072
BA,Metschnikowia,F,M8F,5/29/2021,2051.33,2.05133139
Pine,Metschnikowia,A,M8A,5/29/2021,1879.07,1.87906599
Pine,Metschnikowia,B,M8B,5/29/2021,1897.04,1.89704151
Pine,Metschnikowia,C,M8C,5/29/2021,1788.06,1.78806492
Pine,Metschnikowia,D,M8D,5/29/2021,1893.42,1.89342144
Pine,Metschnikowia,E,M8E,5/29/2021,1838.87,1.83887073
Pine,Metschnikowia,F,M8F,5/29/2021,1862.71,1.86271326
Pine,Metschnikowia,G,M8G,5/29/2021,1837.25,1.83724794
Clover,Metschnikowia,A,M8A,5/29/2021,1947.72,1.94772249
Clover,Metschnikowia,B,M8B,5/29/2021,1971.94,1.97193951
Clover,Metschnikowia,C,M8C,5/29/2021,1834.88,1.83487617
Clover,Metschnikowia,D,M8D,5/29/2021,1856.22,1.8562221
Clover,Metschnikowia,E,M8E,5/29/2021,1908.28,1.90827621
Clover,Metschnikowia,F,M8F,5/29/2021,1745.25,1.74524823
Clover,Metschnikowia,G,M8G,5/29/2021,1726.52,1.72652373
W,Metschnikowia,A,M8A,5/29/2021,1894.17,1.89417042
W,Metschnikowia,B,M8B,5/29/2021,1840.37,1.84036869
W,Metschnikowia,C,M8C,5/29/2021,1816.53,1.81652616
W,Metschnikowia,D,M8D,5/29/2021,1937.36,1.9373616
W,Metschnikowia,E,M8E,5/29/2021,1910.15,1.91014866
W,Metschnikowia,F,M8F,5/29/2021,1879.57,1.87956531
W,Metschnikowia,G,M8G,5/29/2021,1913.39,1.91339424
Clear5,Metschnikowia,A,M8A,5/29/2021,2035.85,2.03585247
Clear5,Metschnikowia,B,M8B,5/29/2021,1901.04,1.90103607
Clear5,Metschnikowia,C,M8C,5/29/2021,1956.21,1.95621093
Clear5,Metschnikowia,D,M8D,5/29/2021,2126.60,2.12660388
