line,dose,age,code,rep,bodysize,gutcellwidth,embedded,punctured,,,,,,,,,,,,,,,,,,,
Mid67,high,young,HY6,1,"1,743.28",22.58,1,0,,,,,,,,,,,,,,,,,,,
Mid67,high,young,HY6,2,"1,476.10",16.51,0,0,,,,,,,,,,,,,,,,,,,
Mid67,high,yough,HY6,3,"1,648.38",25,1,1,,,,,,,,,,,,,,,,,,,
Mid67,low,young,LY6,1,"1,663.84",21.3,1,0,,,,,,,,,,,,,,,,,,,
Mid67,low,young,LY6,2,"1,699.13",21.75,0,0,,,,,,,,,,,,,,,,,,,
Mid67,low,young,LY6,3,"1,676.21",19.56,0,2,,,,,,,,,,,,,,,,,,,
Mid67,control,young,CY6,1,"1,657",19.52,0,0,,,,,,,,,,,,,,,,,,,
Mid67,control,young,CY6,2,"1,682.81",20.95,0,0,,,,,,,,,,,,,,,,,,,
Mid67,control,young,CY6,3,"1,633.60",17.64,0,0,,,,,,,,,,,,,,,,,,,
Mid67,high,middle,HM6,1,"1,795.87",27.5,0,2,,,,,,,,,,,,,,,,,,,
Mid67,high,middle,HM6,2,"1,873.03",23.29,1,3,,,,,,,,,,,,,,,,,,,
Mid67,high,middle,HM6,3,"1,836.22",21.05,0,1,,,,,,,,,,,,,,,,,,,
Mid67,low,middle,LM6,1,"1,909.06",20.87,0,0,,,,,,,,,,,,,,,,,,,
Mid67,low,middle,LM6,2,"1,839.05",19.27,0,0,,,,,,,,,,,,,,,,,,,
Mid67,low,middle,LM6,3,"1,854.47",19.49,0,1,,,,,,,,,,,,,,,,,,,
Mid67,control,middle,CM6,1,"1,828.81",20,0,0,,,,,,,,,,,,,,,,,,,
Mid67,control,middle,CM6,2,"1,831.69",18.4,0,0,,,,,,,,,,,,,,,,,,,
Mid67,control,middle,CM6,3,"1,825.20",21.78,0,0,,,,,,,,,,,,,,,,,,,
Mid67,high,old,HO6,1,"1,834.52",22.57,2,2,,,,,,,,,,,,,,,,,,,
Mid67,high,old,HO6,2,"1,803.31",22.7,2,1,,,,,,,,,,,,,,,,,,,
Mid67,high,old,HO6,3,"1,859.03",19.29,2,1,,,,,,,,,,,,,,,,,,,
Mid67,low,old,LO6,1,"1,916.74",24.85,0,0,,,,,,,,,,,,,,,,,,,
Mid67,low,old,LO6,2,"1,991.85",22.18,1,0,,,,,,,,,,,,,,,,,,,
Mid67,low,old,LO6,4,2006.89,25.53,0,0,,,,,,,,,,,,,,,,,,,
Mid67,control,old,CO6,1,"1,862.15",18.73,0,0,,,,,,,,,,,,,,,,,,,
Mid67,control,old,CO6,2,"1,906.23",20,0,0,,,,,,,,,,,,,,,,,,,
Mid67,control,old,CO6,3,"1,809.20",21.03,0,0,,,,,,,,,,,,,,,,,,,
BA,high,young,HY5,1,"1,655.53",23.3,0,0,,,,,,,,,,,,,,,,,,,
BA,high,young,HY5,2,"1,688.82",21.55,0,0,,,,,,,,,,,,,,,,,,,
BA,control,young,CY6,1,"1,937.04",22.26,0,0,,,,,,,,,,,,,,,,,,,
BA,control,young,CY6,2,"1,794.28",23.83,0,0,,,,,,,,,,,,,,,,,,,
BA,high,middle,HM6,1,"1,988.95",22.99,0,1,,,,,,,,,,,,,,,,,,,
BA,high,middle,HM6,2,"1,956.14",21.98,0,1,,,,,,,,,,,,,,,,,,,
BA,control,middle,CM6,1,"1,944.73",17.06,0,0,,,,,,,,,,,,,,,,,,,
BA,control,middle,CM6,2,"1,945.33",19.29,0,0,,,,,,,,,,,,,,,,,,,
BA,high,old,HO6,1,"2,067.43",14.06,0,2,,,,,,,,,,,,,,,,,,,
BA,high,old,HO6,2,"2,080.07",21.49,1,4,,,,,,,,,,,,,,,,,,,
BA,control,old,CO6,1,"2,069.62",20.93,0,0,,,,,,,,,,,,,,,,,,,
BA,control,old,CO6,2,"2,045.48",22.88,0,0,,,,,,,,,,,,,,,,,,,
Clover,high,young,HY6,1,"1,712.44",23.09,0,0,,,,,,,,,,,,,,,,,,,
Clover,high,young,HY6,2,"1,636.12",20.19,0,0,,,,,,,,,,,,,,,,,,,
Clover,high,young,HY6,3,"1,663.35",18.96,0,1,,,,,,,,,,,,,,,,,,,
Clover,control,young,CY6,1,"1,444.09",22.27,0,0,,,,,,,,,,,,,,,,,,,
Clover,control,young,CY6,2,"1,599.82",22.05,0,0,,,,,,,,,,,,,,,,,,,
Clover,control,young,CY6,3,"1,708.38",22.42,0,0,,,,,,,,,,,,,,,,,,,
Clover,high,middle,HM6,1,"1,948.88",22.12,0,1,,,,,,,,,,,,,,,,,,,
Clover,high,middle,HM6,2,"1,998.87",19.86,0,2,,,,,,,,,,,,,,,,,,,
Clover,control,middle,CM6,1,"1,962.25",20.49,0,0,,,,,,,,,,,,,,,,,,,
Clover,control,middle,CM6,2,"1,873.03",19.05,0,0,,,,,,,,,,,,,,,,,,,
Clover,high,old,HO6,1,"2,073.62",21.48,0,1,,,,,,,,,,,,,,,,,,,
Clover,high,old,HO6,2,"2,043.73",23.37,0,0,,,,,,,,,,,,,,,,,,,
Clover,control,old,CO6,1,"2,010.88",18.4,0,0,,,,,,,,,,,,,,,,,,,
Clover,control,old,CO6,2,"2,039.23",26.92,0,0,,,,,,,,,,,,,,,,,,,
Pine,high,young,HY6,1,"1,616.72",23.9,2,0,,,,,,,,,,,,,,,,,,,
Pine,high,young,HY6,2,"1,435.32",21.07,0,0,,,,,,,,,,,,,,,,,,,
Pine,high,young,HY6,3,"1,447.12",17.26,0,2,,,,,,,,,,,,,,,,,,,
Pine,control,young,CY6,1,"1,392.29",21.57,0,0,,,,,,,,,,,,,,,,,,,
Pine,control,young,CY6,2,"1,367.15",18.5,0,0,,,,,,,,,,,,,,,,,,,
Pine,control,young,CY6,3,"1,565.78",19.91,0,0,,,,,,,,,,,,,,,,,,,
Pine,high,middle,HM6,1,"1,646.25",25.81,0,2,,,,,,,,,,,,,,,,,,,
Pine,high,middle,HM6,2,"1,629.39",22.1,1,4,,,,,,,,,,,,,,,,,,,
Pine,high,middle,HM6,3,"1,583.69",23.83,1,0,,,,,,,,,,,,,,,,,,,
Pine,control,middle,CM5,1,"1,719.87",21.14,0,0,,,,,,,,,,,,,,,,,,,
Pine,control,middle,CM5,2,"1,685.44",25.14,0,0,,,,,,,,,,,,,,,,,,,
Pine,high,old,HO6,1,"1,812.20",20.85,2,3,,,,,,,,,,,,,,,,,,,
Pine,high,old,HO6,2,"1,796.05",18.49,3,0,,,,,,,,,,,,,,,,,,,
Pine,control,old,CO5,1,"1,728.87",23.29,0,0,,,,,,,,,,,,,,,,,,,
Pine,control,old,CO5,2,"1,729.92",18.99,0,0,,,,,,,,,,,,,,,,,,,
