Host.Species,Lake,Year,Julian.Day,Julian,Date,Total,pasteuria.inf,metsch.inf,scarlet.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,micG.inf,pasteuria.prev,metsch.prev,scarlet.prev,brood.prev,larssonia.prev,spider.prev,gurleya.prev,micG.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
ceriodaphnia,Appleton,2014,2014255,255,12-Sep-14,3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,43330.6,20753.8,18930.8,2804.6,0,841.4,0,0,0
dentifera,Appleton,2014,2014199,199,18-Jul-14,327,0,0,1,1,0,0,0,NA,0,0,0.00305810397553517,0.00305810397553517,0,0,0,NA,50762.6,87222,50762.6,27765.2,8413.7,0,280.5,0,0,0
dentifera,Appleton,2014,2014212,212,31-Jul-14,204,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,24063.2,94457.7,24063.2,58895.8,9535.5,0,1963.2,0,0,0
dentifera,Appleton,2014,2014225,225,13-Aug-14,229,0,0,2,0,0,0,0,NA,0,0,0.00873362445414847,0,0,0,0,NA,32392.7,90447.2,32392.7,45433.9,11358.5,0,1262.1,0,0,0
dentifera,Appleton,2014,2014240,240,28-Aug-14,237,0,0,0,1,0,0,0,NA,0,0,0,0.00421940928270042,0,0,0,NA,39123.7,122279,39123.7,67870.4,12199.9,0,3085,0,0,0
dentifera,Appleton,2014,2014255,255,12-Sep-14,225,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,20753.8,43330.6,20753.8,18930.8,2804.6,0,841.4,0,0,0
dentifera,Appleton,2014,2014269,269,26-Sep-14,205,0,0,0,2,0,0,0,NA,0,0,0,0.00975609756097561,0,0,0,NA,12620.5,43470.8,12620.5,14303.3,9255.1,0,7291.9,0,0,0
dentifera,Appleton,2014,2014280,280,7-Oct-14,282,0,0,0,11,0,0,0,NA,0,0,0,0.0390070921985816,0,0,0,NA,8918.5,25409.4,8918.5,8413.7,5384.8,0,2692.4,0,0,0
dentifera,Appleton,2014,2014297,297,24-Oct-14,238,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,10657.3,28957,10657.3,2944.8,12620.5,0,2734.4,0,0,0
dentifera,Appleton,2014,2014308,308,4-Nov-14,216,0,0,1,0,0,0,0,NA,0,0,0.00462962962962963,0,0,0,0,NA,9255.1,45433.9,9255.1,33093.8,0,560.9,2524.1,0,0,0
