Host.Species,Lake,Year,Julian.Day,Julian,Date,Date2,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,metsch.prev,spiro.prev,brood.prev,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,coke.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
ceriodaphnia,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,3,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43330.6,20753.8,18930.8,2804.6,0,841.4,0,0,0
dentifera,Appleton,2014,2014199,199,18-Jul-14,7/18/2014,327,166,159,0,0,0,0,1,1,0,0,0,NA,NA,NA,0,0,0.003058104,0.003058104,0,0,0,NA,NA,NA,50762.6,87222,50762.6,27765.2,8413.7,0,280.5,0,0,0
dentifera,Appleton,2014,2014212,212,31-Jul-14,7/31/2014,204,77,127,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,24063.2,94457.7,24063.2,58895.8,9535.5,0,1963.2,0,0,0
dentifera,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,229,169,58,0,0,0,0,2,0,0,0,0,NA,NA,NA,0,0,0.008733624,0,0,0,0,NA,NA,NA,32392.7,90447.2,32392.7,45433.9,11358.5,0,1262.1,0,0,0
dentifera,Appleton,2014,2014240,240,28-Aug-14,8/28/2014,237,86,149,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.004219409,0,0,0,NA,NA,NA,39123.7,122279,39123.7,67870.4,12199.9,0,3085,0,0,0
dentifera,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,225,96,128,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,20753.8,43330.6,20753.8,18930.8,2804.6,0,841.4,0,0,0
dentifera,Appleton,2014,2014269,269,26-Sep-14,9/26/2014,205,90,113,0,0,0,0,0,2,0,0,0,NA,NA,NA,0,0,0,0.009756098,0,0,0,NA,NA,NA,12620.5,43470.8,12620.5,14303.3,9255.1,0,7291.9,0,0,0
dentifera,Appleton,2014,2014280,280,7-Oct-14,10/7/2014,282,145,122,3,0,0,0,0,11,0,0,0,NA,NA,NA,0,0,0,0.039007092,0,0,0,NA,NA,NA,8918.5,25409.4,8918.5,8413.7,5384.8,0,2692.4,0,0,0
dentifera,Appleton,2014,2014297,297,24-Oct-14,10/24/2014,238,95,102,38,3,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,10657.3,28957,10657.3,2944.8,12620.5,0,2734.4,0,0,0
dentifera,Appleton,2014,2014308,308,4-Nov-14,11/4/2014,216,36,66,85,28,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.00462963,0,0,0,0,NA,NA,NA,9255.1,45433.9,9255.1,33093.8,0,560.9,2524.1,0,0,0
dubia,Appleton,2014,2014199,199,18-Jul-14,7/18/2014,3,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.5,87222,50762.6,27765.2,8413.7,0,280.5,0,0,0
dubia,Appleton,2014,2014212,212,31-Jul-14,7/31/2014,17,8,9,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963.2,94457.7,24063.2,58895.8,9535.5,0,1963.2,0,0,0
dubia,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,2,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1262.1,90447.2,32392.7,45433.9,11358.5,0,1262.1,0,0,0
dubia,Appleton,2014,2014240,240,28-Aug-14,8/28/2014,45,21,24,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,3085,122279,39123.7,67870.4,12199.9,0,3085,0,0,0
dubia,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,35,18,17,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,841.4,43330.6,20753.8,18930.8,2804.6,0,841.4,0,0,0
dubia,Appleton,2014,2014269,269,26-Sep-14,9/26/2014,185,104,80,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.005405405,0,0,0,NA,NA,NA,7291.9,43470.8,12620.5,14303.3,9255.1,0,7291.9,0,0,0
dubia,Appleton,2014,2014280,280,7-Oct-14,10/7/2014,54,23,30,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.018518519,0,0,0,0,NA,NA,NA,2692.4,25409.4,8918.5,8413.7,5384.8,0,2692.4,0,0,0
dubia,Appleton,2014,2014297,297,24-Oct-14,10/24/2014,83,14,63,6,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2734.4,28957,10657.3,2944.8,12620.5,0,2734.4,0,0,0
dubia,Appleton,2014,2014308,308,4-Nov-14,11/4/2014,143,66,73,3,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2524.1,45433.9,9255.1,33093.8,0,560.9,2524.1,0,0,0
parvula,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,2,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90447.2,32392.7,45433.9,11358.5,0,1262.1,0,0,0
