cond((Int)),disp((Int)),cond(dentifera.at.max_z),cond(pulicaria.at.max_z),cond(retrocurva.at.max_z),cond(richness.at.max_z),df,logLik,AICc,delta,weight
-2.893652996,+,NA,-0.291,NA,NA,5,-193.07,397.26,0.00,0.22
-2.889643959,+,NA,NA,NA,NA,4,-194.66,398.06,0.79,0.15
-2.884159328,+,0.250,NA,NA,NA,5,-193.75,398.64,1.38,0.11
-2.895313724,+,0.139,-0.242,NA,NA,6,-192.68,398.97,1.71,0.09
-2.888132272,+,NA,NA,NA,-0.158,5,-194.12,399.37,2.11,0.08
-2.891845728,+,NA,-0.270,NA,-0.039,6,-193.04,399.69,2.43,0.06
-2.89595829,+,NA,-0.298,0.019,NA,6,-193.06,399.73,2.47,0.06
-2.884878489,+,NA,NA,-0.050,NA,5,-194.61,400.34,3.08,0.05
-2.882419406,+,0.208,NA,NA,-0.083,6,-193.61,400.83,3.57,0.04
-2.886818722,+,0.273,NA,0.035,NA,6,-193.73,401.07,3.80,0.03
